2	error	0.40298	duration:	0.00932081
4	error	0.21898	duration:	0.0103861
8	error	0.114295	duration:	3.139e-06
16	error	0.0583996	duration:	1.814e-06
32	error	0.0295188	duration:	1.35e-06
64	error	0.0148399	duration:	1.637e-06
128	error	0.00744013	duration:	1.425e-06
256	error	0.00372513	duration:	1.636e-06
512	error	0.00186383	duration:	1.873e-06
1024	error	0.000932232	duration:	2.428e-06
2048	error	0.000466195	duration:	3.623e-06
4096	error	0.000233117	duration:	5.993e-06
8192	error	0.000116564	duration:	1.0516e-05
16384	error	5.8283e-05	duration:	1.9951e-05
32768	error	2.91418e-05	duration:	3.8642e-05
65536	error	1.4571e-05	duration:	7.6084e-05
131072	error	7.28552e-06	duration:	0.000151059
262144	error	3.64276e-06	duration:	0.000337866
524288	error	1.82138e-06	duration:	0.000648347
1048576	error	9.10692e-07	duration:	0.00122638
2097152	error	4.55346e-07	duration:	0.0027712
4194304	error	2.27673e-07	duration:	0.0104927
8388608	error	1.13836e-07	duration:	0.0105663
16777216	error	5.69182e-08	duration:	0.021154
