2	error	0.000995624	duration:	0.000124055
4	error	8.81408e-07	duration:	7.0661e-05
8	error	1.1906e-12	duration:	1.706e-06
16	error	4.44089e-16	duration:	2.026e-06
32	error	0	duration:	2.629e-06
64	error	4.44089e-16	duration:	3.19e-06
128	error	8.88178e-16	duration:	1.0901e-05
256	error	8.88178e-16	duration:	9.963e-06
512	error	8.88178e-16	duration:	1.8226e-05
1024	error	8.88178e-16	duration:	0.000142699
2048	error	8.88178e-16	duration:	6.8552e-05
4096	error	8.88178e-16	duration:	0.000135667
8192	error	8.88178e-16	duration:	0.000284487
16384	error	8.88178e-16	duration:	0.000575124
32768	error	8.88178e-16	duration:	0.0010837
65536	error	8.88178e-16	duration:	0.0022325
131072	error	8.88178e-16	duration:	0.0048829
262144	error	8.88178e-16	duration:	0.00927896
524288	error	8.88178e-16	duration:	0.0195319
1048576	error	8.88178e-16	duration:	0.0375331
2097152	error	8.88178e-16	duration:	0.0780713
4194304	error	8.88178e-16	duration:	0.155556
8388608	error	8.88178e-16	duration:	0.29088
16777216	error	8.88178e-16	duration:	0.574767
