2	error	0.000995624
4	error	8.81408e-07
8	error	1.1906e-12
16	error	8.88178e-16
32	error	8.88178e-16
64	error	8.88178e-16
128	error	8.88178e-16
256	error	8.88178e-16
512	error	8.88178e-16
1024	error	8.88178e-16
2048	error	8.88178e-16
4096	error	8.88178e-16
8192	error	8.88178e-16
16384	error	8.88178e-16
32768	error	8.88178e-16
65536	error	8.88178e-16
131072	error	8.88178e-16
262144	error	8.88178e-16
524288	error	8.88178e-16
1048576	error	8.88178e-16
2097152	error	8.88178e-16
4194304	error	8.88178e-16
8388608	error	8.88178e-16
16777216	error	8.88178e-16
