2	error	0.40298
4	error	0.21898
8	error	0.114295
16	error	0.0583996
32	error	0.0295188
64	error	0.0148399
128	error	0.00744013
256	error	0.00372513
512	error	0.00186383
1024	error	0.000932232
2048	error	0.000466195
4096	error	0.000233117
8192	error	0.000116564
16384	error	5.8283e-05
32768	error	2.91418e-05
65536	error	1.4571e-05
131072	error	7.28552e-06
262144	error	3.64276e-06
524288	error	1.82138e-06
1048576	error	9.10692e-07
2097152	error	4.55346e-07
4194304	error	2.27673e-07
8388608	error	1.13837e-07
16777216	error	5.69228e-08
